"Pollutant","Country.Name","Unit","EEA.Sector","EEA.Sub.Sector","Column","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"NOx","France","Gg (1000 tonnes)","Agriculture","Crops","Emissions",125,128,127,123,127,129,129,130,130,124,119,116
"NOx","France","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",120,115,105,101,95,85,71,65,57,52,52,47
"NOx","France","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",33,33,33,33,33,33,33,32,32,31,31,30
"NOx","France","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",66,50,63,60,35,35,31,34,28,25,24,25
"NOx","France","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",22,20,17,15,14,13,14,12,11,10,8,7
"NOx","France","Gg (1000 tonnes)","Energy supply","Other energy","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",84,81,78,77,72,69,67,65,63,59,59,61
"NOx","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",47,48,46,46,42,42,40,40,38,37,34,34
"NOx","France","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",107,90,96,100,83,86,84,83,80,78,73,81
"NOx","France","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",32,31,31,30,27,27,25,24,24,24,16,18
"NOx","France","Gg (1000 tonnes)","Transport","Road-transport","Emissions",597,579,555,546,525,514,490,468,436,406,318,332
"NOx","France","Gg (1000 tonnes)","Waste","Waste management","Emissions",3,3,3,3,3,3,3,2,3,3,3,3
"NOx","France","Gg (1000 tonnes)","Waste","Wastewater treatment","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","Netherlands","Gg (1000 tonnes)","Agriculture","Crops","Emissions",14.8,14.2,13.9,14.9,14.8,15.8,15.1,15.3,14.7,14.7,14.8,14.4
"NOx","Netherlands","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",18,18.2,17.6,17.8,18.4,18.9,19.3,19.7,19.9,19.2,19.2,18.7
"NOx","Netherlands","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",25.6,22.5,21.3,21.8,19.3,20.5,18,16.7,15.8,15.1,13.5,14
"NOx","Netherlands","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",10.4,10.5,10.5,11.1,11,10.8,9.1,8.5,8.4,7.7,6.9,6.3
"NOx","Netherlands","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",19.3,18.8,18.3,16.4,15.7,15.9,16.4,15.7,15.8,15.7,15.2,14.9
"NOx","Netherlands","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",11.1,11,10.2,9.5,9.3,8.9,8.5,8.3,7.7,7.6,6.6,6.8
"NOx","Netherlands","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",34.8,27.9,27.9,27.6,21.5,22.5,21.7,18.2,17.8,15.8,14.1,15.3
"NOx","Netherlands","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",79.7,80.5,75.6,74.1,75,71.7,70.4,67,67.1,64.9,59.9,56.9
"NOx","Netherlands","Gg (1000 tonnes)","Transport","Road-transport","Emissions",129,126.8,117.8,105.9,91.5,87.8,83.6,83.9,84.9,78.5,61.1,58.7
"NOx","Netherlands","Gg (1000 tonnes)","Waste","Waste management","Emissions",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"NOx","Romania","Gg (1000 tonnes)","Agriculture","Crops","Emissions",12.3,12.6,11.6,13.8,12.2,14.3,13.8,15.3,18.8,18.3,18.8,20.5
"NOx","Romania","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",11.8,11.6,11.6,11.6,11.4,11.6,11.4,11.1,11,10.9,10.7,10.7
"NOx","Romania","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",56.5,61,56.5,45.4,44.3,42.4,32.4,33.5,35.7,32.2,22.9,21.9
"NOx","Romania","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",9,8.1,7.3,7.6,7.4,5.8,5.4,7.2,4.7,6.5,6.3,6.6
"NOx","Romania","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",26.4,27.3,23.5,20.8,20.6,21.5,20,20.2,21.2,21.8,21.8,22.6
"NOx","Romania","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",4.6,4.6,4.6,4,4,3.8,4.1,4.3,4,4.3,4,4.1
"NOx","Romania","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",18.5,18.7,19.2,18.2,17.6,17.8,18,20.3,20.9,20.8,21,24.7
"NOx","Romania","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",23,26.3,26.3,23.3,20.7,20.6,18.9,18.3,16.7,18.6,16.8,18.2
"NOx","Romania","Gg (1000 tonnes)","Transport","Road-transport","Emissions",85.7,88.2,90.3,85.5,85.4,83.6,87.5,89.9,89.3,85.2,83.4,84.4
"NOx","Romania","Gg (1000 tonnes)","Waste","Waste management","Emissions",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Crops","Emissions",52,48,47,51,57,57,53,57,56,55,57,56
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",100,96,91,84,84,75,68,65,66,60,57,57
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",25,25,25,25,25,25,26,26,26,26,27,26
"NOx","Spain","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",84,132,148,103,115,124,92,87,61,43,31,31
"NOx","Spain","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",24,24,24,21,19,19,17,17,16,14,10,11
"NOx","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",108,102,91,78,78,78,78,79,83,82,77,80
"NOx","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",54,45,44,34,29,31,34,35,35,37,30,31
"NOx","Spain","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",38,35,34,31,28,29,27,28,30,28,27,28
"NOx","Spain","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",36,32,29,19,16,18,17,19,20,20,12,13
"NOx","Spain","Gg (1000 tonnes)","Transport","Road-transport","Emissions",363,343,316,306,302,304,299,292,283,268,213,230
"NOx","Spain","Gg (1000 tonnes)","Waste","Waste management","Emissions",51,54,35,62,40,52,51,48,65,47,58,58
"NOx","Sweden","Gg (1000 tonnes)","Agriculture","Crops","Emissions",9,9,8,8,9,10,10,10,10,10,11,10
"NOx","Sweden","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",4,3,3,3,3,3,3,3,3,3,3,3
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",15,12,12,12,11,11,12,12,12,12,11,13
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Fuel processing","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",2,2,2,1,1,2,1,1,1,1,1,1
